GRvalue,agent,cell_count,cell_count__ctrl,cell_count__time0,cell_line,concentration,timepoint,receptor_status,color_map
1.105923879,AZD6738,,,,BT20,0.001,72,TNBC,#ca7832
1.075023896,AZD6738,,,,BT20,0.0031622779999999997,72,TNBC,#ca7832
1.139014892,AZD6738,,,,BT20,0.01,72,TNBC,#ca7832
1.134055492,AZD6738,,,,BT20,0.031622777000000005,72,TNBC,#ca7832
1.117602776,AZD6738,,,,BT20,0.1,72,TNBC,#ca7832
1.181553772,AZD6738,,,,BT20,0.316227766,72,TNBC,#ca7832
1.120292632,AZD6738,,,,BT20,1.0,72,TNBC,#ca7832
0.9597346459999999,AZD6738,,,,BT20,3.16227766,72,TNBC,#ca7832
0.243046745,AZD6738,,,,BT20,10.0,72,TNBC,#ca7832
1.067357185,AZD6738,,,,BT549,0.001,72,TNBC,#ca7832
1.08050405,AZD6738,,,,BT549,0.0031622779999999997,72,TNBC,#ca7832
1.091850278,AZD6738,,,,BT549,0.01,72,TNBC,#ca7832
1.071304372,AZD6738,,,,BT549,0.031622777000000005,72,TNBC,#ca7832
1.040437939,AZD6738,,,,BT549,0.1,72,TNBC,#ca7832
1.035320903,AZD6738,,,,BT549,0.316227766,72,TNBC,#ca7832
0.951750717,AZD6738,,,,BT549,1.0,72,TNBC,#ca7832
0.6983846429999999,AZD6738,,,,BT549,3.16227766,72,TNBC,#ca7832
-0.000216498,AZD6738,,,,BT549,10.0,72,TNBC,#ca7832
0.9426127609999999,AZD6738,,,,HCC1806,0.001,72,TNBC,#ca7832
0.977506325,AZD6738,,,,HCC1806,0.0031622779999999997,72,TNBC,#ca7832
1.01921365,AZD6738,,,,HCC1806,0.01,72,TNBC,#ca7832
0.9331701609999999,AZD6738,,,,HCC1806,0.031622777000000005,72,TNBC,#ca7832
0.846181085,AZD6738,,,,HCC1806,0.1,72,TNBC,#ca7832
0.8097224829999999,AZD6738,,,,HCC1806,0.316227766,72,TNBC,#ca7832
0.59257121,AZD6738,,,,HCC1806,1.0,72,TNBC,#ca7832
0.11185899199999999,AZD6738,,,,HCC1806,3.16227766,72,TNBC,#ca7832
-0.267769947,AZD6738,,,,HCC1806,10.0,72,TNBC,#ca7832
1.059781598,AZD6738,,,,HCC1954,0.001,72,HER2amp,#4dab9b
1.036918718,AZD6738,,,,HCC1954,0.0031622779999999997,72,HER2amp,#4dab9b
1.110240664,AZD6738,,,,HCC1954,0.01,72,HER2amp,#4dab9b
1.221481724,AZD6738,,,,HCC1954,0.031622777000000005,72,HER2amp,#4dab9b
1.0719090629999999,AZD6738,,,,HCC1954,0.1,72,HER2amp,#4dab9b
1.0982672740000001,AZD6738,,,,HCC1954,0.316227766,72,HER2amp,#4dab9b
1.071104608,AZD6738,,,,HCC1954,1.0,72,HER2amp,#4dab9b
0.956922959,AZD6738,,,,HCC1954,3.16227766,72,HER2amp,#4dab9b
0.24332557100000002,AZD6738,,,,HCC1954,10.0,72,HER2amp,#4dab9b
0.9297966190000001,AZD6738,,,,HCC70,0.001,72,TNBC,#ca7832
1.067204392,AZD6738,,,,HCC70,0.0031622779999999997,72,TNBC,#ca7832
0.89713257,AZD6738,,,,HCC70,0.01,72,TNBC,#ca7832
0.9454663659999999,AZD6738,,,,HCC70,0.031622777000000005,72,TNBC,#ca7832
0.804831732,AZD6738,,,,HCC70,0.1,72,TNBC,#ca7832
0.86171548,AZD6738,,,,HCC70,0.316227766,72,TNBC,#ca7832
0.747106569,AZD6738,,,,HCC70,1.0,72,TNBC,#ca7832
0.380276104,AZD6738,,,,HCC70,3.16227766,72,TNBC,#ca7832
-0.294742112,AZD6738,,,,HCC70,10.0,72,TNBC,#ca7832
1.022353648,AZD6738,,,,MCF10A,0.001,72,NM,#c85f61
1.037867597,AZD6738,,,,MCF10A,0.0031622779999999997,72,NM,#c85f61
