timepoint,agent,cell_line,GR50,GRmax,GR_AOC,GEC50,GRinf,h_GR,r2_GR,pval_GR,receptor_status,color_map
72,AZD6738,CAMA1,8.92482791,0.258814683,-0.049062407,11.11793426,-1.0,5.0,0.821418345,0.002400015,HR+,#7da245
72,AZD6738,MCF10A (GM),6.863758805,0.227732852,0.072734881,13.2430128,-1.0,1.671618164,0.989150051,1.33e-07,NM,#c85f61
72,AZD6738,SKBR3,0.870766345,-0.060430868,0.33302928600000004,12.03010286,-1.0,0.418392465,0.954571794,2e-05,HER2amp,#4dab9b
72,BJP-6-5-3,CAL120,inf,0.8855489809999999,0.002173021,0.0,0.987778376,0.01,-7.33e-15,0.14519259199999998,TNBC,#ca7832
72,BJP-6-5-3,CAL51,inf,0.885681035,0.027189603,0.0,0.965700183,0.01,-1.64e-14,0.150929261,TNBC,#ca7832
72,BJP-6-5-3,CAL85-1,inf,0.618138199,0.093216102,0.0,0.896012797,0.01,-6.66e-16,0.241188231,TNBC,#ca7832
72,BJP-6-5-3,CAMA1,inf,0.7377856770000001,0.014304091,0.0,0.970309913,0.01,-8.88e-16,0.294877427,HR+,#7da245
72,BJP-6-5-3,MCF10A (GM),inf,0.976463266,-0.0006887519999999999,0.0,0.998721395,0.01,-1.21e-13,0.221989596,NM,#c85f61
72,BJP-6-5-3,SKBR3,inf,0.80629161,0.037711883,0.0,0.949757322,0.01,-2.6600000000000002e-15,0.3353678,HER2amp,#4dab9b
72,BMS-265246,CAL120,2.150808891,0.366868214,0.346652291,1000.0,-0.921747014,0.17014794600000002,0.930123253,9.02e-05,TNBC,#ca7832
72,BMS-265246,CAL51,4.141697711,0.288862781,0.220827979,85.8320426,-1.0,0.362424419,0.911621542,0.000205217,TNBC,#ca7832
72,BMS-265246,CAL85-1,0.00867763,-0.0056246,0.670262155,7.129894079,-0.973062176,0.160995635,0.918973483,0.000151424,TNBC,#ca7832
72,BMS-265246,CAMA1,0.000258737,-0.090426788,0.835597369,0.008781045999999999,-0.402774416,0.16764318,0.931930214,8.23e-05,HR+,#7da245
